Title,Year,Winner,Nominated
Wings,1928,Yes,Yes
7th Heaven,1928,No,Yes
The Racket,1928,No,Yes
The Broadway Melody,1929,Yes,Yes
Alibi,1929,No,Yes
The Hollywood Revue,1929,No,Yes
In Old Arizona,1929,No,Yes
The Patriot,1929,No,Yes
All Quiet on the Western Front,1930,Yes,Yes
The Big House,1930,No,Yes
Disraeli,1930,No,Yes
The Divorcee,1930,No,Yes
The Love Parade,1930,No,Yes
Cimarron,1931,Yes,Yes
East Lynne,1931,No,Yes
The Front Page,1931,No,Yes
Skippy,1931,No,Yes
Trader Horn,1931,No,Yes
Grand Hotel,1932,Yes,Yes
Arrowsmith,1932,No,Yes
Bad Girl,1932,No,Yes
The Champ,1932,No,Yes
Five Star Final,1932,No,Yes
One Hour with You,1932,No,Yes
Shanghai Express,1932,No,Yes
The Smiling Lieutenant,1932,No,Yes
Cavalcade,1933,Yes,Yes
42nd Street,1933,No,Yes
A Farewell to Arms,1933,No,Yes
I Am a Fugitive from a Chain Gang,1933,No,Yes
Lady for a Day,1933,No,Yes
Little Women,1933,No,Yes
The Private Life of Henry VIII,1933,No,Yes
She Done Him Wrong,1933,No,Yes
Smilin' Through,1933,No,Yes
State Fair,1933,No,Yes
It Happened One Night,1934,Yes,Yes
The Barretts of Wimpole Street,1934,No,Yes
Cleopatra,1934,No,Yes
Flirtation Walk,1934,No,Yes
The Gay Divorcee,1934,No,Yes
Here Comes the Navy,1934,No,Yes
The House of Rothschild,1934,No,Yes
Imitation of Life,1934,No,Yes
One Night of Love,1934,No,Yes
The Thin Man,1934,No,Yes
Viva Villa!,1934,No,Yes
The White Parade,1934,No,Yes
Mutiny on the Bounty,1935,Yes,Yes
Alice Adams,1935,No,Yes
Broadway Melody of 1936,1935,No,Yes
Captain Blood,1935,No,Yes
David Copperfield,1935,No,Yes
The Informer,1935,No,Yes
The Lives of a Bengal Lancer,1935,No,Yes
A Midsummer Night's Dream,1935,No,Yes
Les Misérables,1935,No,Yes
Naughty Marietta,1935,No,Yes
Ruggles of Red Gap,1935,No,Yes
Top Hat,1935,No,Yes
The Great Ziegfeld,1936,Yes,Yes
Anthony Adverse,1936,No,Yes
Dodsworth,1936,No,Yes
Libeled Lady,1936,No,Yes
Mr. Deeds Goes to Town,1936,No,Yes
Romeo and Juliet,1936,No,Yes
San Francisco,1936,No,Yes
The Story of Louis Pasteur,1936,No,Yes
A Tale of Two Cities,1936,No,Yes
Three Smart Girls,1936,No,Yes
The Life of Emile Zola,1937,Yes,Yes
The Awful Truth,1937,No,Yes
Captains Courageous,1937,No,Yes
Dead End,1937,No,Yes
The Good Earth,1937,No,Yes
In Old Chicago,1937,No,Yes
Lost Horizon,1937,No,Yes
One Hundred Men and a Girl,1937,No,Yes
Stage Door,1937,No,Yes
A Star Is Born,1937,No,Yes
You Can't Take It with You,1938,Yes,Yes
The Adventures of Robin Hood,1938,No,Yes
Alexander's Ragtime Band,1938,No,Yes
Boys Town,1938,No,Yes
The Citadel,1938,No,Yes
Four Daughters,1938,No,Yes
Grand Illusion,1938,No,Yes
Jezebel,1938,No,Yes
Pygmalion,1938,No,Yes
Test Pilot,1938,No,Yes
Gone with the Wind,1939,Yes,Yes
Dark Victory,1939,No,Yes
"Goodbye, Mr. Chips",1939,No,Yes
Love Affair,1939,No,Yes
Mr. Smith Goes to Washington,1939,No,Yes
Ninotchka,1939,No,Yes
Of Mice and Men,1939,No,Yes
Stagecoach,1939,No,Yes
The Wizard of Oz,1939,No,Yes
Wuthering Heights,1939,No,Yes
Rebecca,1940,Yes,Yes
"All This, and Heaven Too",1940,No,Yes
Foreign Correspondent,1940,No,Yes
The Grapes of Wrath,1940,No,Yes
The Great Dictator,1940,No,Yes
Kitty Foyle,1940,No,Yes
The Letter,1940,No,Yes
The Long Voyage Home,1940,No,Yes
Our Town,1940,No,Yes
The Philadelphia Story,1940,No,Yes
How Green Was My Valley,1941,Yes,Yes
Blossoms in the Dust,1941,No,Yes
Citizen Kane,1941,No,Yes
Here Comes Mr. Jordan,1941,No,Yes
Hold Back the Dawn,1941,No,Yes
The Little Foxes,1941,No,Yes
The Maltese Falcon,1941,No,Yes
One Foot in Heaven,1941,No,Yes
Sergeant York,1941,No,Yes
Suspicion,1941,No,Yes
Mrs. Miniver,1942,Yes,Yes
49th Parallel[83],1942,No,Yes
Kings Row,1942,No,Yes
The Magnificent Ambersons,1942,No,Yes
The Pied Piper,1942,No,Yes
The Pride of the Yankees,1942,No,Yes
Random Harvest,1942,No,Yes
The Talk of the Town,1942,No,Yes
Wake Island,1942,No,Yes
Yankee Doodle Dandy,1942,No,Yes
Casablanca,1943,Yes,Yes
For Whom the Bell Tolls,1943,No,Yes
Heaven Can Wait,1943,No,Yes
The Human Comedy,1943,No,Yes
In Which We Serve,1943,No,Yes
Madame Curie,1943,No,Yes
The More the Merrier,1943,No,Yes
The Ox-Bow Incident,1943,No,Yes
The Song of Bernadette,1943,No,Yes
Watch on the Rhine,1943,No,Yes
Going My Way,1944,Yes,Yes
Double Indemnity,1944,No,Yes
Gaslight,1944,No,Yes
Since You Went Away,1944,No,Yes
Wilson,1944,No,Yes
The Lost Weekend,1945,Yes,Yes
Anchors Aweigh,1945,No,Yes
The Bells of St. Mary's,1945,No,Yes
Mildred Pierce,1945,No,Yes
Spellbound,1945,No,Yes
The Best Years of Our Lives,1946,Yes,Yes
Henry V,1946,No,Yes
It's a Wonderful Life,1946,No,Yes
The Razor's Edge,1946,No,Yes
The Yearling,1946,No,Yes
Gentleman's Agreement,1947,Yes,Yes
The Bishop's Wife,1947,No,Yes
Crossfire,1947,No,Yes
Great Expectations,1947,No,Yes
Miracle on 34th Street,1947,No,Yes
Hamlet,1948,Yes,Yes
Johnny Belinda,1948,No,Yes
The Red Shoes,1948,No,Yes
The Snake Pit,1948,No,Yes
The Treasure of the Sierra Madre,1948,No,Yes
All the King's Men,1949,Yes,Yes
Battleground,1949,No,Yes
The Heiress,1949,No,Yes
A Letter to Three Wives,1949,No,Yes
Twelve O'Clock High,1949,No,Yes
All About Eve,1950,Yes,Yes
Born Yesterday,1950,No,Yes
Father of the Bride,1950,No,Yes
King Solomon's Mines,1950,No,Yes
Sunset Boulevard,1950,No,Yes
An American in Paris,1951,Yes,Yes
Decision Before Dawn,1951,No,Yes
A Place in the Sun,1951,No,Yes
Quo Vadis,1951,No,Yes
A Streetcar Named Desire,1951,No,Yes
The Greatest Show on Earth,1952,Yes,Yes
High Noon,1952,No,Yes
Ivanhoe,1952,No,Yes
Moulin Rouge,1952,No,Yes
The Quiet Man,1952,No,Yes
From Here to Eternity,1953,Yes,Yes
Julius Caesar,1953,No,Yes
The Robe,1953,No,Yes
Roman Holiday,1953,No,Yes
Shane,1953,No,Yes
On the Waterfront,1954,Yes,Yes
The Caine Mutiny,1954,No,Yes
The Country Girl,1954,No,Yes
Seven Brides for Seven Brothers,1954,No,Yes
Three Coins in the Fountain,1954,No,Yes
Marty,1955,Yes,Yes
Love Is a Many-Splendored Thing,1955,No,Yes
Mister Roberts,1955,No,Yes
Picnic,1955,No,Yes
The Rose Tattoo,1955,No,Yes
Around the World in 80 Days,1956,Yes,Yes
Friendly Persuasion,1956,No,Yes
Giant,1956,No,Yes
The King and I,1956,No,Yes
The Ten Commandments,1956,No,Yes
The Bridge on the River Kwai,1957,Yes,Yes
12 Angry Men,1957,No,Yes
Peyton Place,1957,No,Yes
Sayonara,1957,No,Yes
Witness for the Prosecution,1957,No,Yes
Gigi,1958,Yes,Yes
Auntie Mame,1958,No,Yes
Cat on a Hot Tin Roof,1958,No,Yes
The Defiant Ones,1958,No,Yes
Separate Tables,1958,No,Yes
Ben-Hur,1959,Yes,Yes
Anatomy of a Murder,1959,No,Yes
The Diary of Anne Frank,1959,No,Yes
The Nun's Story,1959,No,Yes
Room at the Top,1959,No,Yes
The Apartment,1960,Yes,Yes
The Alamo,1960,No,Yes
Elmer Gantry,1960,No,Yes
Sons and Lovers,1960,No,Yes
The Sundowners,1960,No,Yes
West Side Story,1961,Yes,Yes
Fanny,1961,No,Yes
The Guns of Navarone,1961,No,Yes
The Hustler,1961,No,Yes
Judgment at Nuremberg,1961,No,Yes
Lawrence of Arabia,1962,Yes,Yes
The Longest Day,1962,No,Yes
The Music Man,1962,No,Yes
Mutiny on the Bounty,1962,No,Yes
To Kill a Mockingbird,1962,No,Yes
Tom Jones,1963,Yes,Yes
America America,1963,No,Yes
Cleopatra,1963,No,Yes
How the West Was Won,1963,No,Yes
Lilies of the Field,1963,No,Yes
My Fair Lady,1964,Yes,Yes
Becket,1964,No,Yes
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,No,Yes
Mary Poppins,1964,No,Yes
Zorba the Greek,1964,No,Yes
The Sound of Music,1965,Yes,Yes
Darling,1965,No,Yes
Doctor Zhivago,1965,No,Yes
Ship of Fools,1965,No,Yes
A Thousand Clowns,1965,No,Yes
A Man for All Seasons,1966,Yes,Yes
Alfie,1966,No,Yes
"The Russians Are Coming, the Russians Are Coming",1966,No,Yes
The Sand Pebbles,1966,No,Yes
Who's Afraid of Virginia Woolf?,1966,No,Yes
In the Heat of the Night,1967,Yes,Yes
Bonnie and Clyde,1967,No,Yes
Doctor Dolittle,1967,No,Yes
The Graduate,1967,No,Yes
Guess Who's Coming to Dinner,1967,No,Yes
Oliver!,1968,Yes,Yes
Funny Girl,1968,No,Yes
The Lion in Winter,1968,No,Yes
"Rachel, Rachel",1968,No,Yes
Romeo and Juliet,1968,No,Yes
Midnight Cowboy,1969,Yes,Yes
Anne of the Thousand Days,1969,No,Yes
Butch Cassidy and the Sundance Kid,1969,No,Yes
"Hello, Dolly!",1969,No,Yes
Z,1969,No,Yes
Patton,1970,Yes,Yes
Airport,1970,No,Yes
Five Easy Pieces,1970,No,Yes
Love Story,1970,No,Yes
M*A*S*H,1970,No,Yes
The French Connection,1971,Yes,Yes
A Clockwork Orange,1971,No,Yes
Fiddler on the Roof,1971,No,Yes
The Last Picture Show,1971,No,Yes
Nicholas and Alexandra,1971,No,Yes
The Godfather,1972,Yes,Yes
Cabaret,1972,No,Yes
Deliverance,1972,No,Yes
The Emigrants,1972,No,Yes
Sounder,1972,No,Yes
The Sting,1973,Yes,Yes
American Graffiti,1973,No,Yes
Cries and Whispers,1973,No,Yes
The Exorcist,1973,No,Yes
A Touch of Class,1973,No,Yes
The Godfather Part II,1974,Yes,Yes
Chinatown,1974,No,Yes
The Conversation,1974,No,Yes
Lenny,1974,No,Yes
The Towering Inferno,1974,No,Yes
One Flew Over the Cuckoo's Nest,1975,Yes,Yes
Barry Lyndon,1975,No,Yes
Dog Day Afternoon,1975,No,Yes
Jaws,1975,No,Yes
Nashville,1975,No,Yes
Rocky,1976,Yes,Yes
All the President's Men,1976,No,Yes
Bound for Glory,1976,No,Yes
Network,1976,No,Yes
Taxi Driver,1976,No,Yes
Annie Hall,1977,Yes,Yes
The Goodbye Girl,1977,No,Yes
Julia,1977,No,Yes
Star Wars,1977,No,Yes
The Turning Point,1977,No,Yes
The Deer Hunter,1978,Yes,Yes
Coming Home,1978,No,Yes
Heaven Can Wait,1978,No,Yes
Midnight Express,1978,No,Yes
An Unmarried Woman,1978,No,Yes
Kramer vs. Kramer,1979,Yes,Yes
All That Jazz,1979,No,Yes
Apocalypse Now,1979,No,Yes
Breaking Away,1979,No,Yes
Norma Rae,1979,No,Yes
Ordinary People,1980,Yes,Yes
Coal Miner's Daughter,1980,No,Yes
The Elephant Man,1980,No,Yes
Raging Bull,1980,No,Yes
Tess,1980,No,Yes
Chariots of Fire,1981,Yes,Yes
Atlantic City,1981,No,Yes
On Golden Pond,1981,No,Yes
Raiders of the Lost Ark,1981,No,Yes
Reds,1981,No,Yes
Gandhi,1982,Yes,Yes
E.T. the Extra-Terrestrial,1982,No,Yes
Missing,1982,No,Yes
Tootsie,1982,No,Yes
The Verdict,1982,No,Yes
Terms of Endearment,1983,Yes,Yes
The Big Chill,1983,No,Yes
The Dresser,1983,No,Yes
The Right Stuff,1983,No,Yes
Tender Mercies,1983,No,Yes
Amadeus,1984,Yes,Yes
The Killing Fields,1984,No,Yes
A Passage to India,1984,No,Yes
Places in the Heart,1984,No,Yes
A Soldier's Story,1984,No,Yes
Out of Africa,1985,Yes,Yes
The Color Purple,1985,No,Yes
Kiss of the Spider Woman,1985,No,Yes
Prizzi's Honor,1985,No,Yes
Witness,1985,No,Yes
Platoon,1986,Yes,Yes
Children of a Lesser God,1986,No,Yes
Hannah and Her Sisters,1986,No,Yes
The Mission,1986,No,Yes
A Room with a View,1986,No,Yes
The Last Emperor,1987,Yes,Yes
Broadcast News,1987,No,Yes
Fatal Attraction,1987,No,Yes
Hope and Glory,1987,No,Yes
Moonstruck,1987,No,Yes
Rain Man,1988,Yes,Yes
The Accidental Tourist,1988,No,Yes
Dangerous Liaisons,1988,No,Yes
Mississippi Burning,1988,No,Yes
Working Girl,1988,No,Yes
Driving Miss Daisy,1989,Yes,Yes
Born on the Fourth of July,1989,No,Yes
Dead Poets Society,1989,No,Yes
Field of Dreams,1989,No,Yes
My Left Foot,1989,No,Yes
Dances With Wolves,1990,Yes,Yes
Awakenings,1990,No,Yes
Ghost,1990,No,Yes
The Godfather Part III,1990,No,Yes
Goodfellas,1990,No,Yes
The Silence of the Lambs,1991,Yes,Yes
Beauty and the Beast,1991,No,Yes
Bugsy,1991,No,Yes
JFK,1991,No,Yes
The Prince of Tides,1991,No,Yes
Unforgiven,1992,Yes,Yes
The Crying Game,1992,No,Yes
A Few Good Men,1992,No,Yes
Howards End,1992,No,Yes
Scent of a Woman,1992,No,Yes
Schindler's List,1993,Yes,Yes
The Fugitive,1993,No,Yes
In the Name of the Father,1993,No,Yes
The Piano,1993,No,Yes
The Remains of the Day,1993,No,Yes
Forrest Gump,1994,Yes,Yes
Four Weddings and a Funeral,1994,No,Yes
Pulp Fiction,1994,No,Yes
Quiz Show,1994,No,Yes
The Shawshank Redemption,1994,No,Yes
Braveheart,1995,Yes,Yes
Apollo 13,1995,No,Yes
Babe,1995,No,Yes
Il Postino: The Postman,1995,No,Yes
Sense and Sensibility,1995,No,Yes
The English Patient,1996,Yes,Yes
Fargo,1996,No,Yes
Jerry Maguire,1996,No,Yes
Secrets & Lies,1996,No,Yes
Shine,1996,No,Yes
Titanic,1997,Yes,Yes
As Good as It Gets,1997,No,Yes
The Full Monty,1997,No,Yes
Good Will Hunting,1997,No,Yes
L.A. Confidential,1997,No,Yes
Shakespeare in Love,1998,Yes,Yes
Elizabeth,1998,No,Yes
Life Is Beautiful,1998,No,Yes
Saving Private Ryan,1998,No,Yes
The Thin Red Line,1998,No,Yes
American Beauty,1999,Yes,Yes
The Cider House Rules,1999,No,Yes
The Green Mile,1999,No,Yes
The Insider,1999,No,Yes
The Sixth Sense,1999,No,Yes
Gladiator,2000,Yes,Yes
Chocolat,2000,No,Yes
"Crouching Tiger, Hidden Dragon",2000,No,Yes
Erin Brockovich,2000,No,Yes
Traffic,2000,No,Yes
A Beautiful Mind,2001,Yes,Yes
Gosford Park,2001,No,Yes
In the Bedroom,2001,No,Yes
The Lord of the Rings: The Fellowship of the Ring,2001,No,Yes
Moulin Rouge!,2001,No,Yes
Chicago,2002,Yes,Yes
Gangs of New York,2002,No,Yes
The Hours,2002,No,Yes
The Lord of the Rings: The Two Towers,2002,No,Yes
The Pianist,2002,No,Yes
The Lord of the Rings: The Return of the King,2003,Yes,Yes
Lost in Translation,2003,No,Yes
Master and Commander: The Far Side of the World,2003,No,Yes
Mystic River,2003,No,Yes
Seabiscuit,2003,No,Yes
Million Dollar Baby,2004,Yes,Yes
The Aviator,2004,No,Yes
Finding Neverland,2004,No,Yes
Ray,2004,No,Yes
Sideways,2004,No,Yes
Crash,2005,Yes,Yes
Brokeback Mountain,2005,No,Yes
Capote,2005,No,Yes
"Good Night, and Good Luck",2005,No,Yes
Munich,2005,No,Yes
The Departed,2006,Yes,Yes
Babel,2006,No,Yes
Letters from Iwo Jima,2006,No,Yes
Little Miss Sunshine,2006,No,Yes
The Queen,2006,No,Yes
No Country for Old Men,2007,Yes,Yes
Atonement,2007,No,Yes
Juno,2007,No,Yes
Michael Clayton,2007,No,Yes
There Will Be Blood,2007,No,Yes
Slumdog Millionaire,2008,Yes,Yes
The Curious Case of Benjamin Button,2008,No,Yes
Frost/Nixon,2008,No,Yes
Milk,2008,No,Yes
The Reader,2008,No,Yes
The Hurt Locker,2009,Yes,Yes
Avatar,2009,No,Yes
The Blind Side,2009,No,Yes
District 9,2009,No,Yes
An Education,2009,No,Yes
Inglourious Basterds,2009,No,Yes
"Precious: Based on the Novel ""Push"" by Sapphire",2009,No,Yes
A Serious Man,2009,No,Yes
Up,2009,No,Yes
Up in the Air,2009,No,Yes
The King's Speech,2010,Yes,Yes
Black Swan,2010,No,Yes
The Fighter,2010,No,Yes
Inception,2010,No,Yes
The Kids Are All Right,2010,No,Yes
127 Hours,2010,No,Yes
The Social Network,2010,No,Yes
Toy Story 3,2010,No,Yes
True Grit,2010,No,Yes
Winter's Bone,2010,No,Yes
The Artist,2011,Yes,Yes
The Descendants,2011,No,Yes
Extremely Loud & Incredibly Close,2011,No,Yes
The Help,2011,No,Yes
Hugo,2011,No,Yes
Midnight in Paris,2011,No,Yes
Moneyball,2011,No,Yes
The Tree of Life,2011,No,Yes
War Horse,2011,No,Yes
Argo,2012,Yes,Yes
Amour,2012,No,Yes
Beasts of the Southern Wild,2012,No,Yes
Django Unchained,2012,No,Yes
Life of Pi,2012,No,Yes
Lincoln,2012,No,Yes
Les Misérables,2012,No,Yes
Silver Linings Playbook,2012,No,Yes
Zero Dark Thirty,2012,No,Yes
12 Years a Slave,2013,Yes,Yes
American Hustle,2013,No,Yes
Captain Phillips,2013,No,Yes
Dallas Buyers Club,2013,No,Yes
Gravity,2013,No,Yes
Her,2013,No,Yes
Nebraska,2013,No,Yes
Philomena,2013,No,Yes
The Wolf of Wall Street,2013,No,Yes
Birdman or (The Unexpected Virtue of Ignorance),2014,Yes,Yes
American Sniper,2014,No,Yes
Boyhood,2014,No,Yes
The Grand Budapest Hotel,2014,No,Yes
The Imitation Game,2014,No,Yes
Selma,2014,No,Yes
The Theory of Everything,2014,No,Yes
Whiplash,2014,No,Yes
Spotlight,2015,Yes,Yes
The Big Short,2015,No,Yes
Bridge of Spies,2015,No,Yes
Brooklyn,2015,No,Yes
Mad Max: Fury Road,2015,No,Yes
The Martian,2015,No,Yes
The Revenant,2015,No,Yes
Room,2015,No,Yes
Moonlight,2016,Yes,Yes
Arrival,2016,No,Yes
Fences,2016,No,Yes
Hacksaw Ridge,2016,No,Yes
Hell or High Water,2016,No,Yes
Hidden Figures,2016,No,Yes
La La Land,2016,No,Yes
Lion,2016,No,Yes
Manchester by the Sea,2016,No,Yes
The Shape of Water,2017,Yes,Yes
Call Me by Your Name,2017,No,Yes
Darkest Hour,2017,No,Yes
Dunkirk,2017,No,Yes
Get Out,2017,No,Yes
Lady Bird,2017,No,Yes
Phantom Thread,2017,No,Yes
The Post,2017,No,Yes
"Three Billboards Outside Ebbing, Missouri",2017,No,Yes
Green Book,2018,Yes,Yes
Black Panther,2018,No,Yes
BlacKkKlansman,2018,No,Yes
Bohemian Rhapsody,2018,No,Yes
The Favourite,2018,No,Yes
Roma,2018,No,Yes
A Star Is Born,2018,No,Yes
Vice,2018,No,Yes
Parasite,2019,Yes,Yes
Ford v Ferrari,2019,No,Yes
The Irishman,2019,No,Yes
Jojo Rabbit,2019,No,Yes
Joker,2019,No,Yes
Little Women,2019,No,Yes
Marriage Story,2019,No,Yes
1917,2019,No,Yes
Once Upon a Time in Hollywood,2019,No,Yes
Nomadland,2020,Yes,Yes
The Father,2020,No,Yes
Judas and the Black Messiah,2020,No,Yes
Mank,2020,No,Yes
Minari,2020,No,Yes
Promising Young Woman,2020,No,Yes
Sound of Metal,2020,No,Yes
The Trial of the Chicago 7,2020,No,Yes
CODA,2021,Yes,Yes
Belfast,2021,No,Yes
Don't Look Up,2021,No,Yes
Drive My Car,2021,No,Yes
Dune,2021,No,Yes
King Richard,2021,No,Yes
Licorice Pizza,2021,No,Yes
Nightmare Alley,2021,No,Yes
The Power of the Dog,2021,No,Yes
West Side Story,2021,No,Yes
Everything Everywhere All at Once,2022,Yes,Yes
All Quiet on the Western Front,2022,No,Yes
Avatar: The Way of Water,2022,No,Yes
The Banshees of Inisherin,2022,No,Yes
Elvis,2022,No,Yes
The Fabelmans,2022,No,Yes
Tár,2022,No,Yes
Top Gun: Maverick,2022,No,Yes
Triangle of Sadness,2022,No,Yes
Women Talking,2022,No,Yes
Oppenheimer,2023,Yes,Yes
American Fiction,2023,No,Yes
Anatomy of a Fall,2023,No,Yes
Barbie,2023,No,Yes
The Holdovers,2023,No,Yes
Killers of the Flower Moon,2023,No,Yes
Maestro,2023,No,Yes
Past Lives,2023,No,Yes
Poor Things,2023,No,Yes
The Zone of Interest,2023,No,Yes
Anora,2024,Yes,Yes
The Brutalist,2024,No,Yes
A Complete Unknown,2024,No,Yes
Conclave,2024,No,Yes
Dune: Part Two,2024,No,Yes
Emilia Pérez,2024,No,Yes
I'm Still Here,2024,No,Yes
Nickel Boys,2024,No,Yes
The Substance,2024,No,Yes
Wicked,2024,No,Yes
